지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 강남구 논현동 163-17 상당빌딩 ,서울특별시 강남구 강남대로122길 15 상당빌딩 지상2층 (논현동),이자카야 소영,202066.6944,445103.8044
서울특별시 강남구 삼성동 91-23 ,서울특별시 강남구 영동대로114길 9 지상2층 (삼성동),재희키친,205285.5666,445910.4246
서울특별시 강남구 도곡동 414-6번지 ,서울특별시 강남구 논현로34길 20 1층 102호 (도곡동),수닭도리,203789.0617,442484.874
서울특별시 강남구 신사동 657-24번지 지상12층 ,서울특별시 강남구 선릉로157길 23-5 (신사동지상12층),마크레인커피,203276.395,447069.2
서울특별시 강남구 도곡동 414-6번지 ,서울특별시 강남구 논현로34길 20 1층 102호 (도곡동),수닭도리,203789.0617,442484.874
서울특별시 강남구 논현동 63-6 ,서울특별시 강남구 언주로149길 5 지상2층 (논현동),켈리 더 쿡(Kelly the cook),202910.1756,446473.4935
서울특별시 강남구 신사동 525-19 지상1층 ,서울특별시 강남구 논현로175길 101 (신사동지상1층),야키토리 요이사,201801.9219,446716.8617
서울특별시 강남구 삼성동 123-3,서울특별시 강남구 삼성로107길 33 지상1층 (삼성동),지칸,204479.0416,445389.4013
서울특별시 강남구 논현동 37-1번지 지상1층 ,서울특별시 강남구 학동로25길 14 (논현동지상1층),토가라시,202494.4247,445821.0588
서울특별시 강남구 도곡동 414-6번지 ,서울특별시 강남구 논현로34길 20 1층 102호 (도곡동),수닭도리,203789.0617,442484.874
서울특별시 강남구 역삼동 817-34번지 지상3층 ,서울특별시 강남구 강남대로98길 14 (역삼동지상3층),가가린 철우 사주카페,202392.0046,444276.6357
서울특별시 강남구 역삼동 642-1번지 역삼현대벤쳐텔 ,서울특별시 강남구 테헤란로25길 20 역삼현대벤쳐텔 지하1층 B102호 (역삼동),갓포돈,203081.1617,444381.1011
서울특별시 강남구 역삼동 808-5번지 ,서울특별시 강남구 강남대로 468 지하2층 (역삼동 외4필지),코다차야 강남점,202150.899,444665.5848
서울특별시 강남구 역삼동 831-3 지하1층 ,서울특별시 강남구 강남대로78길 8 지하1층 (역삼동 한국빌딩),이자카야나무(강남역2호점),202589.1316,443620.7611
서울특별시 강남구 청담동 13-20 ,서울특별시 강남구 도산대로78길 32 1층 102호 (청담동),진돈카츠,204005.534,446670.9171
서울특별시 강남구 신사동 519-1번지 ,서울특별시 강남구 압구정로2길 35 1층 (신사동),사이,201753.3037,446369.3323
서울특별시 강남구 신사동 654-14번지 지상1층 ,서울특별시 강남구 도산대로51길 18 (신사동지상1층),이자카야 인 뉴욕,203290.1948,446897.6263
서울특별시 강남구 삼성동 152-54번지 지하1층 ,서울특별시 강남구 삼성로104길 16 (삼성동지하1층),쿠시일오이,204891.0836,445417.1564
서울특별시 강남구 도곡동 414-6번지 ,서울특별시 강남구 논현로34길 20 1층 102호 (도곡동),수닭도리,203789.0617,442484.874
서울특별시 강남구 역삼동 738-18 ,서울특별시 강남구 논현로85길 5-15 지상1층 (역삼동),센도수산,203181.5834,444017.8473
서울특별시 강남구 대치동 894-5 한정빌딩지상1층104호 ,서울특별시 강남구 삼성로81길 22 (대치동한정빌딩지상1층104호),고운님 한우곱창,204870.3579,444682.0145
서울특별시 강남구 역삼동 831-3 지하1층 ,서울특별시 강남구 강남대로78길 8 지하1층 (역삼동 한국빌딩),이자카야나무(강남역2호점),202589.1316,443620.7611
서울특별시 강남구 도곡동 957-1번지 지상1층 ,서울특별시 강남구 강남대로42길 16 (도곡동지상1층),타이쇼 난지당,203044.4048,442563.2352
서울특별시 강남구 신사동 512-9 MG타워,서울특별시 강남구 압구정로2길 60 MG타워 지상2층 201호 (신사동),신사연어(신사살몬),201812.6383,446191.7089
서울특별시 강남구 신사동 584-1 유림아트홀 ,서울특별시 강남구 압구정로28길 49 유림아트홀 지상1층 109호110호 (신사동),로바타 탄요,202378.3283,446784.3879
서울특별시 강남구 신사동 539번지 ,서울특별시 강남구 도산대로15길 6 지상1층 (신사동),와라야키 쿠이신보,202063.6027,446263.8066
서울특별시 강남구 도곡동 538-1번지 ,서울특별시 강남구 선릉로 227 지하2호 (도곡동 진달래상가),츄잇,204593.1437,443737.5465
서울특별시 강남구 신사동 657-40 ,서울특별시 강남구 선릉로157길 13-5 101호 (신사동),야키토리(Yakitori)파노,203346.4786,447047.3695
서울특별시 강남구 논현동 4-7번지 지상1층 ,서울특별시 강남구 도산대로8길 7 (논현동지상1층),신사뻘낙지,201895.8818,446032.791
서울특별시 강남구 신사동 508-6 홍인빌딩 지상1층 101호,서울특별시 강남구 강남대로158길 21 지상1층 101호 (신사동 홍인빌딩),타츠야,201742.6501,446339.8548
서울특별시 강남구 도곡동 943-5번지 지하1층 ,서울특별시 강남구 강남대로58길 11 (도곡동지하1층),센스,202847.9776,443031.4381
서울특별시 강남구 개포동 1237-16번지 ,서울특별시 강남구 논현로18길 15 지상1층 101호 (개포동),심야오뎅,204018.855,441757.35
서울특별시 강남구 신사동 521-1번지 ,서울특별시 강남구 압구정로2길 29 1층 (신사동),우오하나,201736.2215,446406.5911
서울특별시 강남구 역삼동 831-3 지하1층 ,서울특별시 강남구 강남대로78길 8 지하1층 (역삼동 한국빌딩),이자카야나무(강남역2호점),202589.1316,443620.7611
서울특별시 강남구 대치동 944-25번지 ,서울특별시 강남구 영동대로85길 38 지하1층 (대치동),하레이자카야,205285.4,444937.05
서울특별시 강남구 도곡동 417번지 지상2층 ,서울특별시 강남구 논현로38길 36 지상2층 (도곡동),코지로,203884.512,442586.2478
서울특별시 강남구 신사동 657-40 ,서울특별시 강남구 선릉로157길 13-5 101호 (신사동),야키토리(Yakitori)파노,203346.4786,447047.3695
서울특별시 강남구 신사동 657-20번지 ,서울특별시 강남구 선릉로157길 21 지하1층 (신사동),이노,203301.1459,447091.4403
서울특별시 강남구 도곡동 419-0 ,서울특별시 강남구 남부순환로378길 8 (도곡동),하루,203961.2808,442616.8606
서울특별시 강남구 신사동 536-1번지 지상5층 ,서울특별시 강남구 도산대로11길 22 (신사동지상5층),모르나,201934.2619,446294.2411
서울특별시 강남구 역삼동 690-11번지 ,서울특별시 강남구 봉은사로44길 61 1층 (역삼동),연 YEON,203679.4456,444841.0978
서울특별시 강남구 신사동 540-21번지 ,서울특별시 강남구 강남대로152길 63 지하1지상1층 (신사동),켄카,202072.1013,446300.6282
서울특별시 강남구 신사동 521-3번지 ,서울특별시 강남구 강남대로160길 23 1층 101호 (신사동),교텐,201755.7535,446403.4373
서울특별시 강남구 신사동 654-18번지 ,서울특별시 강남구 도산대로51길 22 지상4층 (신사동),도산소반,203288.1803,446918.4716
서울특별시 강남구 청담동 123-44 ,서울특별시 강남구 압구정로79길 35 (청담동),청담이상 본점,204360.3736,447025.1144
서울특별시 강남구 논현동 97-8 ,서울특별시 강남구 언주로150길 24 1층 (논현동),모토이시 도산공원점,203133.275,446564.39
서울특별시 강남구 도곡동 417-12 ,서울특별시 강남구 논현로38길 34 지상2층 (도곡동),키노에다,203865.9024,442581.2777
서울특별시 강남구 청담동 22-11 K2빌딩 ,서울특별시 강남구 도산대로58길 12 K2빌딩 지상2층 (청담동),청담류 더 퍼스트 이자카야(청담류 The First Izakaya),203573.8691,446701.5136
서울특별시 강남구 청담동 22-11 K2빌딩 ,서울특별시 강남구 도산대로58길 12 K2빌딩 지상2층 (청담동),청담류 더 퍼스트 이자카야(청담류 The First Izakaya),203573.8691,446701.5136
서울특별시 강남구 대치동 901-77번지 ,서울특별시 강남구 삼성로75길 26 1층 102호 (대치동),구십구 구(99 9),204891.4277,444551.3476
서울특별시 강남구 수서동 502-1번지 ,서울특별시 강남구 광평로 220 (수서동),한단고기,208515.2783,442505.8904
서울특별시 강남구 청담동 20-13 ,서울특별시 강남구 선릉로148길 40 지상1층 (청담동),로바타 라이브라 별관점,203712.4604,446721.6887
