,지번주소,도로명주소,사업장명,위도,경도
58,서울특별시 강남구 논현동 163-17 상당빌딩 ,서울특별시 강남구 강남대로122길 15 상당빌딩 지상2층 (논현동),이자카야 소영,37.508151383781495,127.02127296073003
59,서울특별시 강남구 삼성동 91-23 ,서울특별시 강남구 영동대로114길 9 지상2층 (삼성동),재희키친,37.51540641449423,127.05768444045941
60,서울특별시 강남구 도곡동 414-6번지 ,서울특별시 강남구 논현로34길 20 1층 102호 (도곡동),수닭도리,37.484549504139814,127.04073985145035
61,서울특별시 강남구 신사동 657-24번지 지상12층 ,서울특별시 강남구 선릉로157길 23-5 (신사동지상12층),마크레인커피,37.525856103827245,127.0349633780692
62,서울특별시 강남구 도곡동 414-6번지 ,서울특별시 강남구 논현로34길 20 1층 102호 (도곡동),수닭도리,37.484549504139814,127.04073985145035
63,서울특별시 강남구 논현동 63-6 ,서울특별시 강남구 언주로149길 5 지상2층 (논현동),켈리 더 쿡(Kelly the cook),37.52049001955665,127.03081811610855
64,서울특별시 강남구 신사동 525-19 지상1층 ,서울특별시 강남구 논현로175길 101 (신사동지상1층),야키토리 요이사,37.52268550717623,127.01828216859475
65,서울특별시 강남구 삼성동 123-3,서울특별시 강남구 삼성로107길 33 지상1층 (삼성동),지칸,37.5107162219857,127.04855855566142
66,서울특별시 강남구 논현동 37-1번지 지상1층 ,서울특별시 강남구 학동로25길 14 (논현동지상1층),토가라시,37.51461279732516,127.02611300225601
67,서울특별시 강남구 도곡동 414-6번지 ,서울특별시 강남구 논현로34길 20 1층 102호 (도곡동),수닭도리,37.484549504139814,127.04073985145035
68,서울특별시 강남구 역삼동 817-34번지 지상3층 ,서울특별시 강남구 강남대로98길 14 (역삼동지상3층),가가린 철우 사주카페,37.5006978477683,127.02494963462205
69,서울특별시 강남구 역삼동 642-1번지 역삼현대벤쳐텔 ,서울특별시 강남구 테헤란로25길 20 역삼현대벤쳐텔 지하1층 B102호 (역삼동),갓포돈,37.501637085755824,127.03274372258359
70,서울특별시 강남구 역삼동 808-5번지 ,서울특별시 강남구 강남대로 468 지하2층 (역삼동 외4필지),코다차야 강남점,37.50420284867576,127.02222408033303
71,서울특별시 강남구 역삼동 831-3 지하1층 ,서울특별시 강남구 강남대로78길 8 지하1층 (역삼동 한국빌딩),이자카야나무(강남역2호점),37.494787906406366,127.02717668905973
72,서울특별시 강남구 청담동 13-20 ,서울특별시 강남구 도산대로78길 32 1층 102호 (청담동),진돈카츠,37.52226476997242,127.04320982393722
73,서울특별시 강남구 신사동 519-1번지 ,서울특별시 강남구 압구정로2길 35 1층 (신사동),사이,37.519554373271504,127.01773138694465
